,age,sport_licence,niveau_etude,smoker,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret,imc
0,19,non,bac,oui,4958,veuf,,0.19,1617494400.0,,,500.0,20.408163265306122
1,31,oui,bac+2,non,3001,veuf,,0.93,1679184000.0,,1270.84,786.595928525307,17.590027700831026
2,68,oui,doctorat,oui,3758,,,0.68,1724716800.0,576.0,,29093.676396627423,21.81389239879338
3,50,oui,master,non,3967,marié,,0.68,1647561600.0,,10000.0,7823.303925132546,30.508698264117914
4,42,oui,master,non,2091,,3.0,0.92,1602892800.0,,5000.0,500.0,22.015348934599487
5,31,oui,doctorat,oui,5731,marié,,0.8,1690934400.0,556.0,10000.0,24020.24395844216,28.310970094021542
6,54,non,aucun,oui,886,marié,,0.91,1670544000.0,515.0,488.21,500.0,22.195923734385275
7,27,oui,doctorat,non,1061,marié,,0.57,1650412800.0,,692.45,29425.13822833588,27.9000558001116
8,31,oui,doctorat,oui,1540,,3.0,0.9,1693267200.0,818.0,5000.0,22143.694141361557,24.188943602863016
9,54,oui,master,non,3447,,,0.09,1626393600.0,,10000.0,23381.42115415252,27.0853928301346
10,63,oui,aucun,oui,1820,veuf,,0.43,1602979200.0,404.0,,500.0,20.899908172635445
11,68,oui,master,oui,1684,marié,4.0,0.36,1695513600.0,414.0,5000.0,4324.856803286908,19.393939393939394
12,73,oui,bac,oui,2310,célibataire,,0.56,1646524800.0,,1094.79,500.0,16.448866150477947
13,57,oui,aucun,non,3140,veuf,0.0,0.37,1605571200.0,629.0,,500.0,12.216743300503795
14,35,non,aucun,oui,4089,,2.0,0.96,1600041600.0,516.0,10000.0,500.0,19.361402997389106
15,25,non,bac,oui,3387,marié,,0.0,1688515200.0,511.0,,500.0,27.75300902377947
16,40,non,doctorat,oui,2622,divorcé,,0.3,1707177600.0,746.0,5000.0,500.0,23.202558334258075
17,25,non,master,oui,3158,célibataire,3.0,0.42,1639612800.0,,,500.0,12.244168074271414
18,34,non,aucun,non,1959,célibataire,3.0,0.54,1748476800.0,,5000.0,10854.07936402302,32.89062499999999
19,65,oui,master,non,3385,célibataire,,0.84,1615939200.0,659.0,605.13,13939.190884194722,26.152278404530655
20,48,non,bac,oui,3074,,,0.17,1699574400.0,,5000.0,500.0,17.133476967271985
21,44,oui,bac+2,oui,3403,divorcé,,0.99,1669766400.0,,,500.0,23.428489042675896
22,26,oui,aucun,oui,1824,célibataire,1.0,0.2,1595894400.0,,881.48,8454.336007043335,17.067667969854234
23,72,oui,aucun,oui,4181,divorcé,,0.33,1619740800.0,,5000.0,7322.695420891237,34.007855302289634
24,55,non,master,oui,500,marié,2.0,0.96,1621209600.0,458.0,5000.0,6793.452284371787,30.44789404623967
25,50,non,bac,oui,3322,,,0.64,1729728000.0,,1200.45,500.0,20.16559111731801
26,28,non,bac,non,1447,veuf,5.0,0.4,1639094400.0,809.0,10000.0,500.0,17.940354953672355
27,66,non,master,oui,2886,divorcé,0.0,0.83,1608595200.0,,10000.0,500.0,24.65841312428158
28,72,oui,bac,oui,2744,célibataire,,0.38,1586217600.0,,5000.0,500.0,22.287156607073662
29,19,non,doctorat,oui,1731,divorcé,,0.37,1706659200.0,,10000.0,7178.331807639605,19.106472180976507
30,74,oui,bac,oui,867,marié,4.0,0.78,1676505600.0,,10000.0,10699.741376669954,16.822196560656657
31,51,oui,bac,oui,932,,,0.86,1584403200.0,692.0,5000.0,500.0,25.00453753670684
32,67,oui,master,oui,1688,veuf,,0.52,1582675200.0,,,12691.20933726451,32.784485106476765
33,30,non,master,non,4821,célibataire,,0.43,1583020800.0,,852.08,32406.363429223,22.38665284192666
34,70,oui,doctorat,oui,3294,marié,,0.53,1736985600.0,549.0,,14959.704183298292,20.36598127738497
35,59,non,doctorat,oui,3307,divorcé,5.0,0.25,1700438400.0,,5000.0,500.0,21.90700476477354
36,48,oui,doctorat,oui,3327,,4.0,0.24,1708300800.0,326.0,,931.2893411604468,23.228175777217768
37,33,non,bac+2,oui,3644,divorcé,,0.83,1747699200.0,474.0,10000.0,500.0,26.765708987759513
38,35,non,doctorat,non,2186,veuf,,0.81,1640822400.0,,5000.0,13336.458815540716,29.505158497787487
39,23,non,doctorat,non,1878,,5.0,0.89,1723593600.0,,10000.0,500.0,17.726746034596754
40,56,non,bac+2,non,3511,divorcé,0.0,0.35,1748390400.0,,667.42,6275.995657375264,16.873266731263993
41,54,oui,bac,non,2292,veuf,1.0,0.09,1713744000.0,,1225.01,500.0,20.56112835119184
42,18,oui,master,non,4413,divorcé,,0.88,1587686400.0,,,23586.21984120104,32.38051314483134
43,66,non,doctorat,non,4075,veuf,,0.23,1660780800.0,,5000.0,29327.468801877967,23.317242655958534
44,54,non,bac+2,oui,500,marié,,0.23,1748217600.0,,633.96,500.0,25.90276495045069
45,64,oui,bac,oui,2527,veuf,,0.64,1668988800.0,,5000.0,6766.208142869146,22.334644297366903
46,18,non,doctorat,oui,3125,veuf,,0.95,1594080000.0,454.0,,500.0,19.603457407150312
47,66,oui,bac+2,oui,2629,veuf,,0.72,1674777600.0,663.0,10000.0,500.0,25.814646653133156
48,39,oui,aucun,oui,4301,,1.0,0.82,1613520000.0,570.0,5000.0,6527.309924135625,24.9912330608913
49,38,non,bac,non,3880,,3.0,0.61,1596758400.0,,,500.0,28.213851003401892
50,40,oui,aucun,oui,3696,marié,,0.5,1616630400.0,,,500.0,26.66828809858307
51,21,non,aucun,oui,5297,,2.0,0.91,1658707200.0,,,500.0,26.88266105371957
52,48,non,bac+2,oui,2944,,2.0,0.3,1597363200.0,542.0,5000.0,4878.983510459015,24.06149472901852
53,20,oui,aucun,oui,1733,divorcé,,0.73,1648857600.0,,5000.0,500.0,30.487794584516863
54,71,non,bac,oui,500,célibataire,,0.42,1618012800.0,329.0,,500.0,19.64512905684401
55,24,oui,master,oui,500,veuf,3.0,0.68,1637971200.0,578.0,,9005.3984759165,28.73911792418232
56,70,non,bac,non,891,veuf,1.0,0.72,1585440000.0,,1262.05,4648.262954564732,19.606073086926838
57,67,non,aucun,non,3188,veuf,,0.55,1688169600.0,718.0,10000.0,500.0,15.070443907911951
58,61,non,doctorat,non,3018,,3.0,0.36,1713398400.0,328.0,10000.0,500.0,28.10030914412567
59,29,non,doctorat,non,500,veuf,,0.82,1664323200.0,464.0,,17519.79086127057,16.55531548311203
60,63,non,master,non,4921,veuf,4.0,0.12,1608422400.0,,10000.0,500.0,12.399772072235654
61,72,oui,aucun,non,2369,veuf,4.0,0.7,1640476800.0,,1011.5,500.0,32.17087974263296
62,64,non,aucun,non,2309,veuf,,0.39,1678838400.0,,986.83,23004.85004339703,20.97250560194803
63,59,non,bac,oui,4242,célibataire,3.0,0.78,1686528000.0,849.0,5000.0,525.9216548946995,28.23103893348483
64,72,oui,aucun,oui,1279,,,0.71,1743033600.0,,10000.0,500.0,15.87773922793494
65,18,oui,aucun,non,2803,,2.0,0.25,1698710400.0,,,5283.578467374318,23.22784362605768
66,40,oui,doctorat,oui,2497,divorcé,,0.19,1693526400.0,,,500.0,26.691068457762253
67,35,non,bac,non,2794,veuf,,0.4,1682035200.0,616.0,639.35,15204.45744031618,20.683711577133007
68,32,oui,bac,non,2945,,,0.26,1679270400.0,,1164.09,500.0,22.269282807024958
69,63,non,aucun,oui,4197,,,0.35,1589760000.0,492.0,10000.0,500.0,14.928009427383966
70,19,non,aucun,non,3256,,0.0,0.65,1647561600.0,473.0,828.76,500.0,28.684027116249673
71,69,non,bac,oui,3717,veuf,2.0,0.56,1642723200.0,,10000.0,13170.559304605247,28.074250393519403
72,47,oui,doctorat,non,2983,,,0.69,1686700800.0,,5000.0,23595.20348242246,22.615412123978338
73,70,non,doctorat,non,2076,veuf,,0.7,1633046400.0,,,22782.65101085786,29.608630494733607
74,67,oui,master,oui,3439,veuf,0.0,0.06,1629590400.0,361.0,10000.0,942.2444110939668,27.20621856424325
75,68,oui,doctorat,non,686,célibataire,1.0,0.11,1606780800.0,375.0,5000.0,12270.06665872613,26.212373301758724
76,56,non,aucun,oui,3780,célibataire,3.0,0.5,1740355200.0,502.0,5000.0,1147.9499177521698,29.223691333725778
77,66,oui,bac,non,4590,célibataire,5.0,0.84,1746576000.0,,,25361.899125577955,17.766731946716046
78,58,non,bac+2,oui,2960,divorcé,,0.67,1714694400.0,,,12717.193538141437,21.181444435107917
79,44,oui,bac,non,3697,divorcé,,0.45,1624406400.0,680.0,5000.0,35222.91761983653,24.175086230579044
80,45,non,bac,oui,1635,marié,,0.76,1642204800.0,452.0,958.13,500.0,25.14202390271346
81,56,oui,doctorat,oui,1762,divorcé,2.0,0.04,1730505600.0,,913.01,8395.400810142952,24.91165351742275
82,45,non,aucun,oui,743,,4.0,0.63,1711843200.0,713.0,10000.0,1991.076420631058,18.20380957353312
83,47,non,bac+2,oui,2914,célibataire,,0.46,1685577600.0,809.0,,500.0,22.782087472048204
84,65,non,master,non,1040,veuf,,0.67,1723075200.0,651.0,10000.0,500.0,24.711514235323758
85,60,oui,aucun,oui,1427,veuf,,0.09,1665446400.0,,10000.0,500.0,30.129117203593196
86,65,oui,bac,non,681,veuf,,0.25,1731110400.0,394.0,5000.0,500.0,23.08123826494652
87,74,oui,doctorat,non,3300,marié,,0.89,1598832000.0,,,753.6030929569296,30.687443560102047
