,id,age,taille,poids,niveau_etude,revenu_estime_mois,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,sport_licence_oui,sport_licence_non,smoker_oui,smoker_non,situation_familiale_célibataire,situation_familiale_marié,situation_familiale_divorcé,situation_familiale_veuf,montant_pret
0,0,19,175.0,62.5,1,4958,3.0,0.19,2021-04-04,574.0,5000.0,0,1,1,0,0,0,0,1,500.0
1,1,31,190.0,63.5,2,3001,3.0,0.93,2023-03-19,574.0,1270.84,1,0,0,1,0,0,0,1,786.595928525307
2,2,68,174.6,66.5,4,3758,3.0,0.68,2024-08-27,576.0,5000.0,1,0,1,0,0,0,0,0,29093.676396627423
3,3,50,187.1,106.8,3,3967,3.0,0.68,2022-03-18,574.0,10000.0,1,0,0,1,0,1,0,0,7823.303925132546
4,4,42,169.7,63.4,3,2091,3.0,0.92,2020-10-17,574.0,5000.0,1,0,0,1,0,0,0,0,500.0
5,6,54,195.0,84.4,0,886,3.0,0.91,2022-12-09,515.0,488.21,0,1,1,0,0,1,0,0,500.0
6,7,27,177.8,88.2,4,1061,3.0,0.57,2022-04-20,574.0,692.45,1,0,0,1,0,1,0,0,29425.13822833588
7,8,31,163.8,64.9,4,1540,3.0,0.9,2023-08-29,818.0,5000.0,1,0,1,0,0,0,0,0,22143.694141361557
8,9,54,185.1,92.8,3,3447,3.0,0.09,2021-07-16,574.0,10000.0,1,0,0,1,0,0,0,0,23381.42115415252
9,10,63,165.0,56.9,0,1820,3.0,0.43,2020-10-18,404.0,5000.0,1,0,1,0,0,0,0,1,500.0
10,11,68,165.0,52.8,3,1684,4.0,0.36,2023-09-24,414.0,5000.0,1,0,1,0,0,1,0,0,4324.856803286908
11,12,73,176.6,51.3,1,2310,3.0,0.56,2022-03-06,574.0,1094.79,1,0,1,0,1,0,0,0,500.0
12,13,57,171.9,36.1,0,3140,0.0,0.37,2020-11-17,629.0,5000.0,1,0,0,1,0,0,0,1,500.0
13,14,35,181.1,63.5,0,4089,2.0,0.96,2020-09-14,516.0,10000.0,0,1,1,0,0,0,0,0,500.0
14,15,25,172.1,82.2,1,3387,3.0,0.0,2023-07-05,511.0,5000.0,0,1,1,0,0,1,0,0,500.0
15,16,40,166.6,64.4,4,2622,3.0,0.3,2024-02-06,746.0,5000.0,0,1,1,0,0,0,1,0,500.0
16,17,25,187.4,43.0,3,3158,3.0,0.42,2021-12-16,574.0,5000.0,0,1,1,0,1,0,0,0,500.0
17,18,34,160.0,84.2,0,1959,3.0,0.54,2025-05-29,574.0,5000.0,0,1,0,1,1,0,0,0,10854.07936402302
18,19,65,166.5,72.5,3,3385,3.0,0.84,2021-03-17,659.0,605.13,1,0,0,1,1,0,0,0,13939.190884194722
19,20,48,171.0,50.1,1,3074,3.0,0.17,2023-11-10,574.0,5000.0,0,1,1,0,0,0,0,0,500.0
20,21,44,163.2,62.4,2,3403,3.0,0.99,2022-11-30,574.0,5000.0,1,0,1,0,0,0,1,0,500.0
21,22,26,173.2,51.2,0,1824,1.0,0.2,2020-07-28,574.0,881.48,1,0,1,0,1,0,0,0,8454.336007043335
22,23,72,159.3,86.3,0,4181,3.0,0.33,2021-04-30,574.0,5000.0,1,0,1,0,0,0,1,0,7322.695420891237
23,24,55,180.5,99.2,3,500,2.0,0.96,2021-05-17,458.0,5000.0,0,1,1,0,0,1,0,0,6793.452284371787
24,25,50,180.5,65.7,1,3322,3.0,0.64,2024-10-24,574.0,1200.45,0,1,1,0,0,0,0,0,500.0
25,26,28,186.2,62.2,1,1447,5.0,0.4,2021-12-10,809.0,10000.0,0,1,0,1,0,0,0,1,500.0
26,27,66,186.1,85.4,3,2886,0.0,0.83,2020-12-22,574.0,10000.0,0,1,1,0,0,0,1,0,500.0
27,28,72,154.5,53.2,1,2744,3.0,0.38,2020-04-07,574.0,5000.0,1,0,1,0,1,0,0,0,500.0
28,29,19,171.2,56.0,4,1731,3.0,0.37,2024-01-31,574.0,10000.0,0,1,1,0,0,0,1,0,7178.331807639605
29,30,74,179.0,53.9,1,867,4.0,0.78,2023-02-16,574.0,10000.0,1,0,1,0,0,1,0,0,10699.741376669954
30,31,51,169.1,71.5,1,932,3.0,0.86,2020-03-17,692.0,5000.0,1,0,1,0,0,0,0,0,500.0
31,32,67,159.4,83.3,3,1688,3.0,0.52,2020-02-26,574.0,5000.0,1,0,1,0,0,0,0,1,12691.20933726451
32,33,30,164.8,60.8,3,4821,3.0,0.43,2020-03-01,574.0,852.08,0,1,0,1,1,0,0,0,32406.363429223
33,34,70,180.7,66.5,4,3294,3.0,0.53,2025-01-16,549.0,5000.0,1,0,1,0,0,1,0,0,14959.704183298292
34,35,59,176.7,68.4,4,3307,5.0,0.25,2023-11-20,574.0,5000.0,0,1,1,0,0,0,1,0,500.0
35,36,48,173.1,69.6,4,3327,4.0,0.24,2024-02-19,326.0,5000.0,1,0,1,0,0,0,0,0,931.2893411604468
